2,1,9,7,4,8,6,10,5,3
2,1,6,4,7,9,8,10,5,3
1,2,5,4,10,9,8,6,7,3
9,10,8,1,6,4,5,7,2,3
1,2,10,6,9,5,8,7,4,3
5,4,2,1,7,8,9,10,6,3
1,4,8,7,2,10,9,5,6,3
1,2,7,4,6,9,10,8,5,3
4,5,1,2,7,6,9,10,8,3
2,7,5,1,8,9,10,6,4,3
2,1,10,4,9,7,8,5,6,3
2,5,4,1,7,8,6,10,9,3
4,5,1,2,7,6,10,9,8,3
6,4,2,1,9,7,8,10,5,3
1,4,5,7,2,6,9,10,8,3
4,5,1,2,6,8,9,10,7,3
2,1,7,4,6,5,10,9,8,3
2,1,9,4,7,8,6,10,5,3
1,2,6,4,7,9,8,10,5,3
2,3,8,4,9,6,7,10,5,1
2,1,10,4,7,8,6,9,5,3
2,1,10,4,7,8,6,9,5,3
7,2,10,4,8,9,1,5,6,3
9,10,2,3,1,4,7,5,6,8
5,1,6,8,7,9,2,10,4,3
2,1,10,4,8,9,7,6,5,3
1,2,9,5,8,10,6,7,4,3
1,2,8,5,9,10,4,7,6,3
1,2,8,7,9,10,4,6,5,3
5,4,7,8,9,10,2,6,1,3
2,1,10,9,8,7,6,4,5,3
1,2,8,6,9,10,5,4,7,3
2,1,10,9,8,7,6,4,5,3
1,2,,,,,,,,3
1,2,9,7,8,10,4,6,5,3
4,5,2,1,8,10,7,9,6,3
2,3,5,4,10,9,7,8,6,1
9,10,1,2,7,8,6,4,5,3
1,2,9,4,8,10,6,7,5,3
1,2,8,4,9,10,6,7,5,3
1,2,6,4,10,9,8,5,7,3
6,1,7,9,5,10,2,8,4,3
2,1,6,5,7,10,8,4,9,3
1,2,7,4,8,10,9,6,5,3
2,1,10,5,8,9,7,6,4,3
1,2,6,8,9,10,4,7,5,3
1,2,9,6,8,10,4,7,5,3
6,5,1,2,9,10,8,7,4,3
2,1,10,4,8,9,6,5,7,3
1,2,9,5,6,10,4,8,7,3
